bg,612
ca,9988
cs,10637
da,22110
de,18630
el,9805
en_GB,452
es,14400
et,5018
eu,840
fi,8461
fr,15977
ga,2178
gl,9903
hr,867
hu,8583
is,132
it,12325
ja,15703
ko,10160
lt,5836
nl,8660
no,19460
pl,15083
pt,3504
pt_BR,6717
ro,2857
ru,22193
sk,3977
sv,17041
tr,6884
uk,14259
wa,3678
zh_TW.Big5,4026
zh_CN.GB2312,4097
