da,balsa/po,373,,
da,bonobo/po,96,,
da,bug-buddy/po,112,,
da,control-center/po,307,,
da,dia/po,615,,
da,dr-genius/po,423,,
da,eog/po,47,,
da,evolution/po,219,,
da,gconf/po,203,,
da,gdm2/po,148,,
da,gnome-i18n/extra-po/gdm2beta5,143,,
da,gedit/po,170,,
da,gfloppy/po,34,,
da,ggv/po,97,,
da,ghex/po,107,,
da,gimp/po,1361,,
da,gimp/po-libgimp,48,,
da,gimp/po-script-fu,420,2,1
da,gimp/po-plug-ins,2776,,
da,gimp-freetype/po,35,,
da,glade/po,1177,,
da,gnome-i18n/extra-po/gnapster,55,,30
da,gnome-applets/po,846,,
da,gnome-chess/po,48,,
da,gnome-core/po,752,,
da,gnome-db/po,311,135,133
da,gnome-games/po,620,,
da,gnome-libs/po,377,,
da,gnome-lokkit/po,44,,
da,gnome-media/po,249,,
da,gnome-pilot/po,286,,1
da,gnome-pim/po,462,,
da,gnome-print/po,76,,
da,gnome-utils/po,693,,
da,gnome-vfs/po,115,,
da,gnomeicu/po,580,,
da,gnorpm/po,277,,
da,gnumeric/po,2083,1,
da,gphoto/po,192,,
da,gtk+/po,113,1,2
da,gnome-i18n/extra-po/gtm,132,,
da,gtop/po,253,,
da,gtranslator/po,133,5,12
da,guppi3/po,136,,
da,gxsnmp/po,263,,
da,gnome-i18n/extra-po/helix-gdm2,150,,
da,helix-install/src/rpm-3.0.3/po,43,,706
da,libgtop/po,280,,
da,magicdev/po,11,,
da,mc/po,1512,,
da,memprof/po,70,,
da,nautilus/po,306,,
da,pan/po,596,,
da,rp3/po,202,,
da,sodipodi/po,175,,
da,gnome-i18n/extra-po/sawfish,428,4,5
da,gnome-i18n/extra-po/xchat,207,8,67
de,achtung/po,109,8,7
de,balsa/po,332,20,21
de,bonobo/po,8,9,79
de,bug-buddy/po,112,,
de,control-center/po,302,5,
de,dia/po,473,80,62
de,dr-genius/po,108,26,289
de,eog/po,32,,15
de,evolution/po,,,
de,gconf/po,203,,
de,gdm2/po,124,22,2
de,gnome-i18n/extra-po/gdm2beta5,112,28,3
de,gedit/po,110,16,44
de,gfloppy/po,34,,
de,ggv/po,97,,
de,ghex/po,79,11,17
de,gimp/po,1358,,3
de,gimp/po-libgimp,48,,
de,gimp/po-script-fu,420,2,1
de,gimp/po-plug-ins,2776,,
de,gimp-freetype/po,35,,
de,glade/po,1163,3,11
de,gnome-i18n/extra-po/gnapster,,,
de,gnome-applets/po,842,4,
de,gnome-chess/po,21,10,17
de,gnome-core/po,752,,
de,gnome-db/po,195,211,173
de,gnome-games/po,618,,2
de,gnome-libs/po,377,,
de,gnome-lokkit/po,,,
de,gnome-media/po,239,,10
de,gnome-pilot/po,,,
de,gnome-pim/po,405,1,56
de,gnome-print/po,73,,3
de,gnome-utils/po,668,11,14
de,gnome-vfs/po,61,6,48
de,gnomeicu/po,568,3,9
de,gnorpm/po,260,3,14
de,gnumeric/po,1406,9,669
de,gphoto/po,,,
de,gtk+/po,113,1,2
de,gnome-i18n/extra-po/gtm,,,
de,gtop/po,242,9,2
de,gtranslator/po,42,4,104
de,guppi3/po,114,2,21
de,gxsnmp/po,241,1,21
de,gnome-i18n/extra-po/helix-gdm2,143,5,2
de,helix-install/src/rpm-3.0.3/po,264,244,241
de,libgtop/po,274,3,3
de,magicdev/po,7,,4
de,mc/po,1507,,5
de,memprof/po,,,
de,nautilus/po,,,
de,pan/po,529,39,28
de,rp3/po,,,
de,sodipodi/po,,,
de,gnome-i18n/extra-po/sawfish,352,,85
de,gnome-i18n/extra-po/xchat,282,,
el,achtung/po,89,12,22
el,balsa/po,324,27,22
el,bonobo/po,6,10,81
el,bug-buddy/po,105,1,6
el,control-center/po,304,3,
el,dia/po,404,107,105
el,dr-genius/po,382,18,23
el,eog/po,47,,
el,evolution/po,71,34,114
el,gconf/po,202,1,
el,gdm2/po,148,,
el,gnome-i18n/extra-po/gdm2beta5,,,
el,gedit/po,,,
el,gfloppy/po,,,
el,ggv/po,92,3,2
el,ghex/po,65,11,31
el,gimp/po,,,
el,gimp/po-libgimp,,,
el,gimp/po-script-fu,,,
el,gimp/po-plug-ins,,,
el,gimp-freetype/po,,,
el,glade/po,225,6,946
el,gnome-i18n/extra-po/gnapster,,,
el,gnome-applets/po,831,14,1
el,gnome-chess/po,39,4,6
el,gnome-core/po,742,1,9
el,gnome-db/po,252,177,150
el,gnome-games/po,603,8,9
el,gnome-libs/po,362,15,
el,gnome-lokkit/po,,,
el,gnome-media/po,149,11,89
el,gnome-pilot/po,249,18,20
el,gnome-pim/po,462,,
el,gnome-print/po,31,7,38
el,gnome-utils/po,387,121,185
el,gnome-vfs/po,114,1,1
el,gnomeicu/po,510,25,46
el,gnorpm/po,277,1,
el,gnumeric/po,1152,317,615
el,gphoto/po,,,
el,gtk+/po,113,1,2
el,gnome-i18n/extra-po/gtm,,,
el,gtop/po,249,4,
el,gtranslator/po,,,
el,guppi3/po,,,
el,gxsnmp/po,,,
el,gnome-i18n/extra-po/helix-gdm2,,,
el,helix-install/src/rpm-3.0.3/po,,,
el,libgtop/po,142,10,128
el,magicdev/po,11,1,
el,mc/po,386,66,1060
el,memprof/po,,,
el,nautilus/po,,,
el,pan/po,,,
el,rp3/po,,,
el,sodipodi/po,,,
el,gnome-i18n/extra-po/sawfish,,,
el,gnome-i18n/extra-po/xchat,280,1,1
en_GB,achtung/po,7,1,116
en_GB,balsa/po,,,
en_GB,bonobo/po,,,
en_GB,bug-buddy/po,0,1,112
en_GB,control-center/po,13,,294
en_GB,dia/po,6,11,598
en_GB,dr-genius/po,,,
en_GB,eog/po,,,
en_GB,evolution/po,,,
en_GB,gconf/po,,,
en_GB,gdm2/po,,,
en_GB,gnome-i18n/extra-po/gdm2beta5,,,
en_GB,gedit/po,,,
en_GB,gfloppy/po,,,
en_GB,ggv/po,,,
en_GB,ghex/po,0,,107
en_GB,gimp/po,92,15,1254
en_GB,gimp/po-libgimp,8,,40
en_GB,gimp/po-script-fu,1,1,422
en_GB,gimp/po-plug-ins,142,65,2569
en_GB,gimp-freetype/po,35,,
en_GB,glade/po,18,7,1152
en_GB,gnome-i18n/extra-po/gnapster,,,
en_GB,gnome-applets/po,21,2,823
en_GB,gnome-chess/po,,,
en_GB,gnome-core/po,23,1,728
en_GB,gnome-db/po,,,
en_GB,gnome-games/po,3,,617
en_GB,gnome-libs/po,2,,375
en_GB,gnome-lokkit/po,,,
en_GB,gnome-media/po,1,,248
en_GB,gnome-pilot/po,,,
en_GB,gnome-pim/po,1,1,460
en_GB,gnome-print/po,,,
en_GB,gnome-utils/po,4,5,684
en_GB,gnome-vfs/po,,,
en_GB,gnomeicu/po,,,
en_GB,gnorpm/po,,,
en_GB,gnumeric/po,40,11,2033
en_GB,gphoto/po,,,
en_GB,gtk+/po,,,
en_GB,gnome-i18n/extra-po/gtm,,,
en_GB,gtop/po,,,
en_GB,gtranslator/po,,,
en_GB,guppi3/po,,,
en_GB,gxsnmp/po,,,
en_GB,gnome-i18n/extra-po/helix-gdm2,,,
en_GB,helix-install/src/rpm-3.0.3/po,,,
en_GB,libgtop/po,,,
en_GB,magicdev/po,,,
en_GB,mc/po,,,
en_GB,memprof/po,,,
en_GB,nautilus/po,,,
en_GB,pan/po,,,
en_GB,rp3/po,,,
en_GB,sodipodi/po,,,
en_GB,gnome-i18n/extra-po/sawfish,29,9,400
en_GB,gnome-i18n/extra-po/xchat,6,,276
es,achtung/po,89,12,22
es,balsa/po,345,13,15
es,bonobo/po,11,6,79
es,bug-buddy/po,112,,
es,control-center/po,307,,
es,dia/po,,,
es,dr-genius/po,192,,231
es,eog/po,45,,2
es,evolution/po,202,5,13
es,gconf/po,,,
es,gdm2/po,148,,
